iter	RMSE
0	6238074.563
1	6096169.855
2	5960391.856
3	5824452.974
4	5708805.183
5	5593665.027
6	5477817.237
7	5359651.229
8	5261411.217
9	5160216.6
10	5068005.539
11	4989215.573
12	4899578.002
13	4815506.259
14	4741653.097
15	4662965.794
16	4585903.673
17	4520091.967
18	4450069.996
19	4375603.046
20	4309394.212
21	4249724.131
22	4187318.721
23	4127519.299
24	4069954.126
25	4009521.813
26	3962786.37
27	3901536.726
28	3853882.598
29	3808413.939
30	3758786.309
31	3726021.656
32	3680163.009
33	3639717.31
34	3592197.335
35	3551506.685
36	3510465.533
37	3473107.607
38	3442362.988
39	3409908.483
40	3379355.854
41	3347098.231
42	3312539.524
43	3284648.021
44	3260824.907
45	3239410.128
46	3212513.632
47	3185537.859
48	3164038.037
49	3142155.675
50	3118222.033
51	3100250.592
52	3080609.664
53	3059399.784
54	3043945.525
55	3020271.54
56	3002583.623
57	2986306.033
58	2963319.913
59	2944883.951
60	2924700.566
61	2907113
62	2892391.617
63	2876648.541
64	2861680.347
65	2847596.99
66	2831631.97
67	2817820.027
68	2799041.292
69	2784536.847
70	2770339.208
71	2758469.624
72	2746288.55
73	2733707.622
74	2724987.657
75	2715318.868
76	2704575.459
77	2693690.932
78	2683488.593
79	2673693.628
80	2664945.021
81	2655972.517
82	2645739.399
83	2635665.721
84	2627124.554
85	2616913.935
86	2608523.637
87	2603040.062
88	2590659.181
89	2583819.046
90	2570351.169
91	2561238.871
92	2553567.835
93	2544707.707
94	2533625.677
95	2522107.64
96	2511003.856
97	2501196.736
98	2494839.096
99	2484603.552
100	2477994.11
101	2471319.207
102	2464777.083
103	2458605.833
104	2453664.07
105	2446643.308
106	2442703.146
107	2437668.775
108	2432181.856
109	2425241.009
110	2416236.049
111	2404814.819
112	2397333.116
113	2388853.883
114	2381742.895
115	2375313.289
116	2370684.27
117	2365309.326
118	2360150.795
119	2353385.229
120	2346276.197
121	2341674.304
122	2334777.525
123	2326851.866
124	2322735.403
125	2318375.232
126	2312661.596
127	2305874.717
128	2298274.322
129	2293586.704
130	2287902.902
131	2282050.234
132	2278608.507
133	2274757.022
134	2272206.563
135	2266489.191
136	2264159.851
137	2260576.574
138	2254961.288
139	2251930.102
140	2245635.835
141	2241718.479
142	2238669.313
143	2234195.439
144	2228766.575
145	2225626.771
146	2220638.389
147	2215101.44
148	2208082.463
149	2205002.164
150	2202253.174
151	2197457.628
152	2194860.853
153	2191830.165
154	2186314.089
155	2182922.123
156	2177027.534
157	2172286.803
158	2166549.219
159	2160493.343
160	2157796.04
161	2153807.263
162	2151587.051
163	2148677.639
164	2145497.204
165	2141660.309
166	2135239.52
167	2133201.331
168	2129393.791
169	2125621.666
170	2120625.552
171	2114227.667
172	2109856.089
173	2106402.347
174	2103662.707
175	2100895.106
176	2098690.326
177	2096379.405
178	2093621.021
179	2090399.44
180	2084900.529
181	2083647.206
