iter	Passed	Remaining
0	0	890
1	1	946
2	2	853
3	3	946
4	4	978
5	5	953
6	6	952
7	7	936
8	8	905
9	9	893
10	9	882
11	10	863
12	11	853
13	11	838
14	12	820
15	13	810
16	13	807
17	14	802
18	15	795
19	16	791
20	16	781
21	17	786
22	18	788
23	19	803
24	20	802
25	21	809
26	22	810
27	23	809
28	24	805
29	24	803
30	25	800
31	26	794
32	27	792
33	27	794
34	28	794
35	29	792
36	30	787
37	30	784
38	31	782
39	32	782
40	33	783
41	34	789
42	35	796
43	36	796
44	37	798
45	38	796
46	39	793
47	39	792
48	40	791
49	41	791
50	42	787
51	43	786
52	43	784
53	44	782
54	45	780
55	46	778
56	46	774
57	47	775
58	48	775
59	49	777
60	50	778
61	51	776
62	51	773
63	52	771
64	53	770
65	54	767
66	54	764
67	55	763
68	56	760
69	57	758
70	57	757
71	58	754
72	59	752
73	60	750
74	60	747
75	61	745
76	61	742
77	62	741
78	63	739
79	64	736
80	65	739
81	66	739
82	66	739
83	67	737
84	68	735
85	69	733
86	69	731
87	70	730
88	71	728
89	71	726
90	72	724
91	73	722
92	73	721
93	74	719
94	75	717
95	76	715
96	76	713
97	77	712
98	78	710
99	78	709
100	79	707
101	80	706
102	80	704
103	81	702
104	82	701
105	83	700
106	83	698
107	84	697
108	85	696
109	85	695
110	86	693
111	87	692
112	87	690
113	88	688
114	89	686
115	89	684
116	90	683
117	91	681
118	91	679
119	92	678
120	93	677
121	94	676
122	94	677
123	95	675
124	96	674
125	97	672
126	97	671
127	98	669
128	98	668
129	99	666
130	100	664
131	100	663
132	101	661
133	102	660
134	102	658
135	103	657
136	104	655
137	104	654
138	105	652
139	106	651
140	106	650
141	107	648
142	108	647
143	108	646
144	109	645
145	110	645
146	111	645
147	111	644
148	112	643
149	113	642
150	114	641
151	114	640
152	115	638
153	116	637
154	116	635
155	117	634
156	117	633
157	118	632
158	119	630
159	119	629
160	120	628
161	121	627
162	121	625
163	122	624
164	123	624
165	124	624
166	125	625
167	126	624
168	126	623
169	127	622
170	128	621
171	128	620
172	129	618
173	130	617
174	130	616
175	131	614
176	131	613
177	132	612
178	133	611
179	133	609
180	134	608
181	135	607
182	135	606
183	136	605
184	137	604
185	137	603
186	138	602
187	139	601
188	139	600
189	140	599
190	141	597
191	141	596
192	142	595
193	143	594
194	143	593
195	144	592
196	145	591
197	145	590
198	146	589
199	147	588
200	147	587
201	148	585
202	148	584
203	149	583
204	150	582
205	150	581
206	151	580
207	152	580
208	153	580
209	154	580
210	155	580
211	155	579
212	156	578
213	157	577
214	157	576
215	158	575
216	159	574
217	159	573
218	160	572
219	161	571
220	161	570
221	162	569
222	162	567
223	163	566
224	164	565
225	164	564
226	165	563
227	166	562
228	166	561
229	167	560
230	168	559
231	168	559
232	169	558
233	170	558
234	171	557
235	171	556
236	172	556
237	173	555
238	174	554
239	174	553
240	175	552
241	176	551
242	176	550
243	177	549
244	177	548
245	178	547
246	179	546
247	179	545
248	180	544
249	181	544
250	182	543
251	182	542
252	183	541
253	184	541
254	185	540
255	185	540
256	186	539
257	187	538
258	187	537
259	188	536
260	189	535
261	189	534
262	190	533
263	191	532
264	191	531
265	192	531
266	193	531
267	194	530
268	195	530
269	195	529
270	196	528
271	197	527
272	197	526
273	198	525
274	199	524
275	199	524
276	200	523
277	201	522
278	201	521
279	202	520
280	203	519
281	203	518
282	204	517
283	205	517
284	205	516
285	206	515
286	207	514
287	207	513
288	208	512
289	209	511
290	209	511
291	210	510
292	211	509
293	211	508
294	212	507
295	213	506
296	213	505
297	214	504
298	214	504
299	215	503
300	216	502
301	216	501
302	217	500
303	218	499
304	218	498
305	219	497
306	220	496
307	220	496
308	221	495
309	222	494
310	222	493
311	223	492
312	224	491
313	224	491
314	225	490
315	226	489
316	226	488
317	227	487
318	228	486
319	228	486
320	229	485
321	230	484
322	230	483
323	231	482
324	232	481
325	232	481
326	233	480
327	234	479
328	234	478
329	235	477
330	236	477
331	236	476
332	237	476
333	238	475
334	239	475
335	240	474
336	240	473
337	241	473
338	242	472
339	242	471
340	243	470
341	244	470
342	244	469
343	245	468
344	246	467
345	246	466
346	247	465
347	248	464
348	248	463
349	249	463
350	250	462
351	250	461
352	251	461
353	252	460
354	253	460
355	254	459
356	254	458
357	255	457
358	255	457
359	256	456
360	257	455
361	258	454
362	258	454
363	259	453
364	260	452
365	260	451
366	261	451
367	262	450
368	262	449
369	263	448
370	264	447
371	264	447
372	265	446
373	266	445
374	266	444
375	267	443
376	268	443
377	268	442
378	269	442
379	270	441
380	271	440
381	271	440
382	272	439
383	273	438
384	274	437
385	274	436
386	275	436
387	275	435
388	276	434
389	277	433
390	278	432
391	278	432
392	279	431
393	279	430
394	280	429
395	281	428
396	281	428
397	282	427
398	283	427
399	284	426
400	284	425
401	285	424
402	286	424
403	286	423
404	287	422
405	288	421
406	289	421
407	289	420
408	290	419
409	291	418
410	291	418
411	292	417
412	293	416
413	293	415
414	294	414
415	295	414
416	295	413
417	296	412
418	297	412
419	298	411
420	299	411
421	299	410
422	300	410
423	301	409
424	302	409
425	303	408
426	303	407
427	304	406
428	305	405
429	305	405
430	306	404
431	307	403
432	307	402
433	308	402
434	309	401
435	309	400
436	310	399
437	311	399
438	311	398
439	312	398
440	313	397
441	314	396
442	314	395
443	315	395
444	316	394
445	316	393
446	317	392
447	318	392
448	319	391
449	319	390
450	320	389
451	320	389
452	321	388
453	322	387
454	322	386
455	323	386
456	324	385
457	325	384
458	325	383
459	326	383
460	327	382
461	327	381
462	328	381
463	329	380
464	330	379
465	330	379
466	331	378
467	332	377
468	332	376
469	333	376
470	334	375
471	334	374
472	335	373
473	336	372
474	336	372
475	337	371
476	338	370
477	338	369
478	339	369
479	340	368
480	341	367
481	341	367
482	342	366
483	343	366
484	344	365
485	344	364
486	345	363
487	346	363
488	346	362
489	347	361
490	348	360
491	348	360
492	349	359
493	350	358
494	350	358
495	351	357
496	352	356
497	353	355
498	353	355
499	354	354
500	355	353
501	356	353
502	357	352
503	357	352
504	358	351
505	359	350
506	360	350
507	360	349
508	361	348
509	362	347
510	362	347
511	363	346
512	364	345
513	364	344
514	365	344
515	366	343
516	366	342
517	367	341
518	367	341
519	368	340
520	369	339
521	370	338
522	370	338
523	371	337
524	372	336
525	372	336
526	373	335
527	374	334
528	375	333
529	375	333
530	376	332
531	376	331
532	377	330
533	378	330
534	378	329
535	379	328
536	380	327
537	380	327
538	381	326
539	382	325
540	382	324
541	383	323
542	383	323
543	384	322
544	385	321
545	386	321
546	386	320
547	387	319
548	388	319
549	389	318
550	390	317
551	390	317
552	391	316
553	392	315
554	393	315
555	393	314
556	394	313
557	395	312
558	395	312
559	396	311
560	397	310
561	397	309
562	398	309
563	399	308
564	399	307
565	400	307
566	401	306
567	401	305
568	402	304
569	403	304
570	404	303
571	404	302
572	405	302
573	406	301
574	407	300
575	407	300
576	408	299
577	409	298
578	410	298
579	410	297
580	411	296
581	412	296
582	412	295
583	413	294
584	414	293
585	415	293
586	415	292
587	416	291
588	417	291
589	418	290
590	419	290
591	419	289
592	420	288
593	421	288
594	422	287
595	422	286
596	423	285
597	424	285
598	424	284
599	425	283
600	426	282
601	426	282
602	427	281
603	428	280
604	429	280
605	429	279
606	430	278
607	431	277
608	431	277
609	432	276
610	433	275
611	434	275
612	434	274
613	435	273
614	436	272
615	436	272
616	437	271
617	438	270
618	438	270
619	439	269
620	440	268
621	440	267
622	441	267
623	441	266
624	442	265
625	443	264
626	444	264
627	444	263
628	445	262
629	446	262
630	446	261
631	447	260
632	448	259
633	448	259
634	449	258
635	450	257
636	452	257
637	452	257
638	453	256
639	454	255
640	455	255
641	455	254
642	456	253
643	457	252
644	458	252
645	458	251
646	459	250
647	460	249
648	460	249
649	461	248
650	462	247
651	462	247
652	463	246
653	464	245
654	465	245
655	466	244
656	466	243
657	467	243
658	468	242
659	469	241
660	469	240
661	470	240
662	471	239
663	471	238
664	472	238
665	473	237
666	474	236
667	474	235
668	475	235
669	476	234
670	476	233
671	477	233
672	478	232
673	479	231
674	480	231
675	480	230
676	481	229
677	482	229
678	483	228
679	484	227
680	484	227
681	485	226
682	486	225
683	486	224
684	487	224
685	488	223
686	489	222
687	489	222
688	490	221
689	491	220
690	491	219
691	492	219
692	493	218
693	494	217
694	494	217
695	495	216
696	496	215
697	497	215
698	497	214
699	498	213
700	499	212
701	499	212
702	500	211
703	501	210
704	501	209
705	502	209
706	503	208
707	503	207
708	504	207
709	505	206
710	505	205
711	506	204
712	507	204
713	507	203
714	508	202
715	509	202
716	510	201
717	510	200
718	511	199
719	512	199
720	513	198
721	513	197
722	514	197
723	515	196
724	515	195
725	516	194
726	517	194
727	517	193
728	518	192
729	519	192
730	519	191
731	520	190
732	521	189
733	521	189
734	522	188
735	523	187
736	523	186
737	524	186
738	525	185
739	526	184
740	527	184
741	527	183
742	528	182
743	529	182
744	529	181
745	530	180
746	531	179
747	531	179
748	532	178
749	533	177
750	534	177
751	534	176
752	535	175
753	535	174
754	536	174
755	537	173
756	537	172
757	538	171
758	539	171
759	540	170
760	541	169
761	541	169
762	542	168
763	543	167
764	543	167
765	544	166
766	545	165
767	545	164
768	546	164
769	547	163
770	547	162
771	548	161
772	549	161
773	549	160
774	550	159
775	551	159
776	551	158
777	552	157
778	553	156
779	553	156
780	554	155
781	555	154
782	556	154
783	557	153
784	558	152
785	558	152
786	559	151
787	560	150
788	560	150
789	561	149
790	562	148
791	563	147
792	563	147
793	564	146
794	565	145
795	566	145
796	567	144
797	568	143
798	569	143
799	569	142
800	570	141
801	571	141
802	572	140
803	573	139
804	574	139
805	575	138
806	576	137
807	577	137
808	579	136
809	582	136
810	583	136
811	584	135
812	585	134
813	586	134
814	587	133
815	588	132
816	589	132
817	590	131
818	591	130
819	592	130
820	593	129
821	594	128
822	595	128
823	596	127
824	597	126
825	598	125
826	599	125
827	600	124
828	601	124
829	602	123
830	603	122
831	605	122
832	606	121
833	608	121
834	609	120
835	611	119
836	612	119
837	613	118
838	614	117
839	615	117
840	616	116
841	617	115
842	618	115
843	619	114
844	620	113
845	621	113
846	622	112
847	623	111
848	625	111
849	626	110
850	627	109
851	628	109
852	629	108
853	630	107
854	631	107
855	631	106
856	632	105
857	633	104
858	634	104
859	635	103
860	636	102
861	637	102
862	638	101
863	638	100
864	639	99
865	640	99
866	641	98
867	642	97
868	642	96
869	643	96
870	644	95
871	645	94
872	645	93
873	646	93
874	647	92
875	647	91
876	648	90
877	649	90
878	650	89
879	651	88
880	652	88
881	652	87
882	653	86
883	654	85
884	655	85
885	655	84
886	656	83
887	657	82
888	657	82
889	658	81
890	659	80
891	659	79
892	660	79
893	661	78
894	661	77
895	662	76
896	663	76
897	664	75
898	664	74
899	665	73
900	666	73
901	666	72
902	667	71
903	668	70
904	669	70
905	670	69
906	670	68
907	671	68
908	672	67
909	672	66
910	673	65
911	674	65
912	674	64
913	675	63
914	675	62
915	676	62
916	677	61
917	677	60
918	678	59
919	679	59
920	680	58
921	680	57
922	681	56
923	682	56
924	683	55
925	683	54
926	684	53
927	685	53
928	685	52
929	686	51
930	687	50
931	687	50
932	688	49
933	689	48
934	689	47
935	690	47
936	691	46
937	691	45
938	692	44
939	693	44
940	694	43
941	694	42
942	695	42
943	696	41
944	696	40
945	697	39
946	698	39
947	699	38
948	700	37
949	700	36
950	701	36
951	702	35
952	702	34
953	703	33
954	704	33
955	704	32
956	705	31
957	706	30
958	706	30
959	707	29
960	708	28
961	709	28
962	710	27
963	711	26
964	711	25
965	712	25
966	713	24
967	714	23
968	715	22
969	716	22
970	716	21
971	717	20
972	718	19
973	718	19
974	719	18
975	720	17
